Tag,Content
h2,AboutEntertainment and Multimedia Computing
p,"The Bachelor of Science in Entertainment and Multimedia Computing specialized in Game Development program prepares students to become game development professionals with specialized knowledge, competencies and values in designing, developing and producing digital games and tools, and in managing game development projects for various applications."
h2,Educational Objectives
li,"Articulate expertise in understanding, analyzing, and applying current and emerging technologies in the design and development of IT-based solutions for entertainment and multimedia computing profession."
li,Perform tasks effectively as individuals and team members in the workplace growing into highly technical or project management and leadership roles.
li,Pursue life-long learning enabling them to adapt and grow as organizational responsibilities change.
h2,Program Outcomes
p,Graduates of the Bachelor of Science in Entertainment and Multimedia Computing program are expected to demonstrate:
ul,"Apply knowledge of mathematics, physical sciences, contemporary issues, and computer sciences to the practice of being an entertainment and multimedia computing professionals.Specialized computing knowledge in each applicable field, and the ability to apply such knowledge to provide solutions to actual problems.Recognize, formulate, and solve computing problems.Analyze project requirements, design and implement project prototypes.Design, build, improve, and deploy products that meets client needs within realistic constraints.Use the appropriate techniques, skills and modern computing tools necessary for the practice of being a professional game developer or animator.Function effectively as an individual or a member or leader in diverse teams and in multidisciplinary settings.Communicate effectively with the computing community and write effective reports, design documentation, make effective presentation, and give and understand clear instructions.Assess the local and global impacts of computing on society relevant to professional computing practice and subscription to accepted industry standards.Recognize the legal, social, ethical, and professional issues involved in the utilization of entertainment and multimedia computing projects and be guided by the adoption of appropriate professional, ethical, and legal practices both in local and global community.Create or use modified artifacts in considerations of intellectual property rights of the author.Recognize the need for and engage in an independent and learning for continual development as an entertainment and multimedia computing professionals.Demonstrate innovativeness in creating an original creative outputs.Demonstrate client-centric service."
li,"Apply knowledge of mathematics, physical sciences, contemporary issues, and computer sciences to the practice of being an entertainment and multimedia computing professionals."
li,"Specialized computing knowledge in each applicable field, and the ability to apply such knowledge to provide solutions to actual problems."
li,"Recognize, formulate, and solve computing problems."
li,"Analyze project requirements, design and implement project prototypes."
li,"Design, build, improve, and deploy products that meets client needs within realistic constraints."
li,"Use the appropriate techniques, skills and modern computing tools necessary for the practice of being a professional game developer or animator."
li,Function effectively as an individual or a member or leader in diverse teams and in multidisciplinary settings.
li,"Communicate effectively with the computing community and write effective reports, design documentation, make effective presentation, and give and understand clear instructions."
li,Assess the local and global impacts of computing on society relevant to professional computing practice and subscription to accepted industry standards.
li,"Recognize the legal, social, ethical, and professional issues involved in the utilization of entertainment and multimedia computing projects and be guided by the adoption of appropriate professional, ethical, and legal practices both in local and global community."
li,Create or use modified artifacts in considerations of intellectual property rights of the author.
li,Recognize the need for and engage in an independent and learning for continual development as an entertainment and multimedia computing professionals.
li,Demonstrate innovativeness in creating an original creative outputs.
li,Demonstrate client-centric service.
