Tag,Content
h2,HOW TO APPLY
h3,ONLINE REGISTRATION
h2,ONLINE ENROLLMENT
h3,ONLINE ENROLLMENT
h2,CURRICULUM AND PROSPECTUS
h2,ONLINE MASTER'S PROGRAMS
h2,TUITION FEE INFORMATION
h2,PAYMENT OPTIONS
h2,LEARNING DELIVERY
h3,FLEXIBLE LEARNING OPTIONS
p,"Mapúa MCM is waiving the Application Fee and Admission Examination for all Junior High School, Senior High School, and College applicants applying for SY: 2021-2022 and SY: 2022-2023."
p,APPLY NOW
p,Have further questions?Request Information.
p,"To view each program or strand’s curricula or prospectus, please check our our downloadables page."
p,Have further questions?Request Information.
p,Mapúa Malayan Colleges Mindanao through Mapúa University offers Master’s Programs. Please see Mapúa’s full list ofGraduate ProgramshereorFully Online Programshere.
p,"For other inquiries (e.g. tuition fees, enrollment process, etc.), you may contact theMapúa Graduate Schoolthrough:"
p,Have further questions?Request Information.
p,"Our school fees vary depending on the selected program.College programs’ feesrange from PHP 41,000.00 to PHP 57,000 per term. ForJuniorHigh School,it is PHP an est. 97,000.00 annually. ForSenior High School, it is an est. Php 82,000 annually."
p,ESC and Vouchers will be deducted upon submission of enrollment requirements.
p,Have further questions?Request Information.
p,"Mapúa Malayan Colleges Mindanao accepts various verified payment channels for quick and easy transactions. We accept payments throughOnline Banking (MCM RCBC account), M. Lhuillier, GCash, Paymaya, Over-the-Counter RCBC payments, Bukas Financial Installment Plans,andECPay."
p,"To learn more about the step-by-step guides on how to pay through these payment channels, https://mcm.edu.ph/mcm-online-payment-options/."
p,"We also acceptIn-Campus Over-the-Counterpayments at the Treasury Office.  If you wish to visit us for in-campus payment transactions, please be informed of our followingprecautionary measures against COVID-19:"
p,"MapúaMCM has adopted the“No mask, no entry”policy. Please wear your face masks at all times while on campus."
p,"Before entering the campus, you will need to:"
p,Please be guided accordingly.
p,Have further questions?Request Information.
p,"Mapúa Malayan Colleges Mindanao prides itself in itsMMCM FLUX (Flexible Learning Ubiquitous Experience)to accommodate students online and onsite, as well as those with weak or no Internet connections at home."
p,Have further questions?Request Information.
li,Is there an application fee?– None. No application fee shall be collected from student applicants.
li,"Can we apply by visiting the Admissions Office?– Yes, you may visit Mapúa MCM Admissions Office. Please keep the campus health and safety protocols in mind. The application process starts with the completion of theonline application form."
li,Can I change the information I submitted through the application form?– Yes. Simply re-submit the correct information with your Applicant Registration Number to update your record.
li,"Can I enroll in Mapúa MCM even if my original report card is not yet available?– Yes, students may submit their report card once it is already available. Please send an email toadmissions@mcm.edu.ph ."
li,Can I enroll at the Mapúa MCM campus?– Yes. You may refer to the onsite enrollment process.
li,"Are parents/guardians allowed to process the enrollment on behalf of the student?– Yes, parents/guardians may process the enrollment as long as the necessary forms are accomplished and signed by the student."
li,Can students choose which subject to enroll in for each semester/term?– No. Students are grouped in blocked sections upon enrollment.
li,Mobile Number: (+63) 999 958 3744
li,Email Address: gstudies@mapua.edu.ph
li,Subject yourself to a temperature check
li,Sanitize your hands
li,Answer our health survey
h1, Colleges
h2,Alfonso T. Yuchengco College of Business
h2,College of Arts and Science
h2,College of Computer and Information Science
h2,College of Engineering and Architecture
h2,College of Health Sciences
h2,Ready to Apply?
p,"Admission is open for new and transfer College applicants for the 1st Semester, SY: 2024-2025. Start your journey with us now!"
h2,Alfonso T. Yuchengco College of Business
img,https://mcm.edu.ph/wp-content/uploads/2023/03/ATYCB.jpg,ATYCB Logo
