Tag,Content
h2,About Physical Therapy
p,"The Bachelor of Science in Physical Therapy (BS Physical Therapy) is a four-year degree program that teaches students the knowledge and skills in the promotion of optimal health and the rehabilitation and treatment of individuals with disabilities resulting from injury, illness, and aging. Students are trained in different methods on how to promote, maintain and restore physical functional ability and maximum movement for people at any stage of life."
p,"Mapúa MCM, one of the leading physical therapy schools, provides opportunities to Physical Therapy students to learn international physical therapy practices through its partnership with ASU-Cintana Education. Herein, students can have global internships and exchange programs with other schools abroad. Students will learn international physical therapy practices through a wide-ranging internship program that allows them to work within the health domains of promotion, prevention, treatment, habilitation, and rehabilitation."
p,"Graduates of the program may work in sports teams, rehabilitation and care centers, academe, business, health research and development, and government service, or may pursue a career as a community-based therapist or hospital-based therapist in regions such as Physical Therapy Davao."
h3,Program Educational Objectives
p,"Four years after graduation, graduates of the BS Physical Therapy program shall be:"
ul,"Provided opportunity, instruction, and training programs in which students acquire basic knowledge and skills in the practice of Physical Therapy.Integrating evidence-informed knowledge of physical sciences, social sciences, health sciences, and natural sciences into the practice of Physical Therapy. Participate in ongoing professional development and lifelong learning.Demonstrating consistent competence in conducting a comprehensive examination, evaluation, and assessment of patients/clients across the lifespan within a broad continuum of care in locations such as Physical Therapy Davao.Inculcating good interpersonal relationships and attitudes that foster a more conducive professional atmosphere among physical therapy schools.Making continuing medical education a habit for self-improvement in the delivery of upgraded health care."
li,"Provided opportunity, instruction, and training programs in which students acquire basic knowledge and skills in the practice of Physical Therapy."
li,"Integrating evidence-informed knowledge of physical sciences, social sciences, health sciences, and natural sciences into the practice of Physical Therapy. Participate in ongoing professional development and lifelong learning."
li,"Demonstrating consistent competence in conducting a comprehensive examination, evaluation, and assessment of patients/clients across the lifespan within a broad continuum of care in locations such as Physical Therapy Davao."
li,Inculcating good interpersonal relationships and attitudes that foster a more conducive professional atmosphere among physical therapy schools.
li,Making continuing medical education a habit for self-improvement in the delivery of upgraded health care.
h3,Student Outcomes
p,"At the end of the program, graduates of the Physical Therapy Program will be able to"
ul,"Have the ability to be servant-leaders who are humane in attributes, imbued with strong ethical moral values with a deep sense of nationalism.Integrate concepts from the biological, physical, behavioral, and clinical sciences into physical therapy services in physical therapy schools.Exhibit professional conduct and behaviors that are consistent with the legal and ethical practice of physical therapy in regions such as Physical Therapy Davao.Demonstrate compassion, caring, integrity, and respect for differences, values, and preferences in all interactions with patients/clients, family members, health care providers, students, other citizens.Collect and critically evaluate data and published literature to apply in the delivery of care, practice management, and to examine the theoretical and scientific basis for physical therapy.Apply health promotion principles and strategies in improving quality of life across different physical therapy practice environments."
li,"Have the ability to be servant-leaders who are humane in attributes, imbued with strong ethical moral values with a deep sense of nationalism."
li,"Integrate concepts from the biological, physical, behavioral, and clinical sciences into physical therapy services in physical therapy schools."
li,Exhibit professional conduct and behaviors that are consistent with the legal and ethical practice of physical therapy in regions such as Physical Therapy Davao.
li,"Demonstrate compassion, caring, integrity, and respect for differences, values, and preferences in all interactions with patients/clients, family members, health care providers, students, other citizens."
li,"Collect and critically evaluate data and published literature to apply in the delivery of care, practice management, and to examine the theoretical and scientific basis for physical therapy."
li,Apply health promotion principles and strategies in improving quality of life across different physical therapy practice environments.
h2,Career Opportunities
p,Clinical Practitioner
p,Academe
p,Health Research
p,"Government Service (Department of Health, Armed Forces of the Philippines, etc.)"
p,Hospital-Based therapist
p,Preparatory Course to Doctor in Medicine
p,Business ( Operate Rehabilitation Center)
p,Community Based Therapist
