Tag,Content
h2,AboutArchitecture
p,"The Bachelor of Science in Architecture program invests in training fledglings in architecture practice, especially in planning and architectural designing. The program equips learners with theoretical and practical aspects and awareness of cultural heritages, developing their analytical thinking and creativity."
p,"This advances them in becoming responsibly adept in their field, such as interior design, construction management, sustainable design, and urban design, which demand scientific, aesthetic, and orderly coordination. Also, it provides learners with contemporary ventures that bridge them to the world of practice. The program aids learners in meeting the local and global standards in the field of architecture. Architecture schools in Davao aim to provide similar comprehensive training. The integration of Mindanao’s cultural heritage makes Mindanao architecture programs uniquely positioned to offer a rich learning experience."
h3,Educational Objectives
li,"Ensure mastery of comprehensive architectural knowledge, both in theory and practice and proficiency of skills by the graduates necessary in the global practice of architecture, especially for those pursuing a Bachelor of Science in Architecture;"
li,"Promote academic freedom and a congenial atmosphere to develop architectural practitioners that could initiate and conduct architectural research and development for the advancement of the profession, as emphasized in architecture schools in Davao;"
li,"Our program instills in our students ahighstandard of professional ethics, values, attitudes, and a strong sense of responsibility."
li,"Promote self-managed learning to develop the architectural practitioner’s ability and capacity to analyze facts, think critically, and express ideas effectively, similar to the approaches in Mindanao architecture programs;"
li,Impart appreciation of the basic philosophy and the fundamental principles of architecture and understanding of the direct relationship between man and his environment in the context of ecological balance and sustainable development and
li,Engender the importance of history and culture in preserving and promoting the country’s architectural heritage.
h3,Program Outcomes
p,Graduates of the Bachelor of Science in Architecture program are expected to demonstrate:
ul,"An ability to apply knowledge of arts, science, and architectural design;An ability to design and conduct critical analysis and interpret data;An ability to do architectural design to meet desired needs within realistic constraints such as economic, environmental, social, political, ethical, health and safety, and sustainability;An ability to function on multi-disciplinary teams;An ability to identify, formulate, and solve architectural problems;An understanding of professional and ethical responsibility;An ability to communicate effectively;The broad education necessary to understand the impact of architectural solutions in a global, economic, environmental, and societal context, as emphasized in architecture schools in Davao;A recognition of the need for, and an ability to engage in life-long learning, similar to programs in Mindanao architecture;A knowledge of contemporary issues; andAn ability to use the techniques, skills, and modern tools necessary for architectural practice."
li,"An ability to apply knowledge of arts, science, and architectural design;"
li,An ability to design and conduct critical analysis and interpret data;
li,"An ability to do architectural design to meet desired needs within realistic constraints such as economic, environmental, social, political, ethical, health and safety, and sustainability;"
li,An ability to function on multi-disciplinary teams;
li,"An ability to identify, formulate, and solve architectural problems;"
li,An understanding of professional and ethical responsibility;
li,An ability to communicate effectively;
li,"The broad education necessary to understand the impact of architectural solutions in a global, economic, environmental, and societal context, as emphasized in architecture schools in Davao;"
li,"A recognition of the need for, and an ability to engage in life-long learning, similar to programs in Mindanao architecture;"
li,A knowledge of contemporary issues; and
li,"An ability to use the techniques, skills, and modern tools necessary for architectural practice."
