Tag,Content
h2,About BSChemical Engineering
p,"The BS Chemical Engineering program provides an outcomes-based pedagogy developing profound skill sets and competencies with an excellent understanding of the intricacies of engineering sciences, especially in areas related to chemical enterprises, as taught in chemical engineering schools in the Philippines."
p,"Its mainspring encapsulates the process of material production and efficient utilization through the application of Mathematics, Chemistry, Physics, material science, and Economics with the integration of technological tools. The program aims to equip learners to meet the local and global standards in the field of chemical engineering, making it one of the leading colleges with chemical engineering programs."
h3,Educational Objectives
li,"Graduates of the BS Chemical Engineering program will have the technical skills and professional qualifications to become competent engineers supporting the industry, academia, or government, as emphasized by leading chemical engineering schools in the Philippines."
li,"Graduates of colleges with chemical engineering programs will collaborate and innovate in the field, leading or participating in efforts to address social, technical, ethical, and business challenges."
li,Graduates of the chemical engineering program will be engaged in life-long learning and professional development.
h3,Program Outcomes
p,Graduates of the Bachelor of Science in Chemical Engineering program are expected to demonstrate:
ul,"An ability to apply knowledge of mathematics, science, and engineering;An ability to design and conduct experiments, as well as to analyze and interpret data;An ability to design a system, component, or process to meet desired needs within realistic constraints such as economic, environmental, social, political, ethical, health and safety, manufacturability, and sustainability;An ability to function on multidisciplinary teams;An ability to identify, formulate, and solve engineering problems;An understanding of professional and ethical responsibility;An ability to communicate effectively;The broad education necessary to understand the impact of engineering solutions in a global, economic, environmental, and societal context;A recognition of the need for and an ability to engage in life-long learning;A knowledge of contemporary issues;An ability to use the techniques, skills, and modern engineering tools necessary for engineering practice;Knowledge and understanding of engineering and management principles as a member and leader in a team to manage projects in multidisciplinary environments andUnderstanding at least one specialized field of chemical engineering practice."
li,"An ability to apply knowledge of mathematics, science, and engineering;"
li,"An ability to design and conduct experiments, as well as to analyze and interpret data;"
li,"An ability to design a system, component, or process to meet desired needs within realistic constraints such as economic, environmental, social, political, ethical, health and safety, manufacturability, and sustainability;"
li,An ability to function on multidisciplinary teams;
li,"An ability to identify, formulate, and solve engineering problems;"
li,An understanding of professional and ethical responsibility;
li,An ability to communicate effectively;
li,"The broad education necessary to understand the impact of engineering solutions in a global, economic, environmental, and societal context;"
li,A recognition of the need for and an ability to engage in life-long learning;
li,A knowledge of contemporary issues;
li,"An ability to use the techniques, skills, and modern engineering tools necessary for engineering practice;"
li,Knowledge and understanding of engineering and management principles as a member and leader in a team to manage projects in multidisciplinary environments and
li,Understanding at least one specialized field of chemical engineering practice.
