Tag,Content
h2,Mangement Accounting Program
h2,About Management Accounting
p,"The Bachelor of Science in Management Accounting program cultivates critical thinkers and problem solvers who possess a mastery of accounting and finance, as well as management and leadership skills. By leveraging technology and hard data, graduates are equipped to provide innovative solutions for businesses. The program emphasizes quantitative thinking, financial data interpretation, and technology proficiency through theoretical and technical accounting knowledge and business management education. In addition, partnerships with Yuchengco Group (YGC) of companies and Ayala Corporation provide valuable networking opportunities for students."
a,"Text: Inquire now, Link: http://mcm.edu.ph/atycb-wp/"
h2,Bachelor of Science inManagement Accounting
li,"The program primarily prepares the student to be a management accountant. Some of the certifications for this discipline are: Certified Management Accountant (CMA), Chartered Institute of Management Accountants (CIMA) and Chartered Financial Analyst (CFA)."
li,The students will be exposed to a variety of industries and sectors in order to create a holistic educational environment. They will be conducting industry study on different sectors in order to broaden their managerial knowledge.
li,"The graduates of this program are expected to be analysts, managers and consultants of various companies. They may also engage in private practice or pursue their own business."
h2,Program TableSummary
li,2019-2020
li,B.S. Management Accounting
li,Total Number of Units and breakdown
tr,Course Classification - Total Number of Units
tr,General Education - 36
tr,NSTP - 6
tr,Physical Educatio - 8
tr,Common Business and Management Education Courses - 6
tr,Management Accounting Core Courses - 81
tr,Professional Courses - 24
tr,Professional Elective - 6
tr,MapúaMCM Required Courses - 18
tr,Total - 185
li,Expected number of years to complete the program – 4 years
li,"Graduates of Non-ABM (e.g. STEM, HUMSS, GAS) will be required to take a 15 unit bridging program"
h2,Program Education Objectives
p,The program goals of the BS Management Accounting are as follows:
li,Produce competent and ethical professional management accountants capable of making a positive contribution over their lifetimes to the profession and society in which they work
li,"Provide a foundation of professional knowledge, professional skills and professional values, ethics and attitudes that enable graduates to continue to learn and adapt to change over their professional lives"
li,Able to support the management in taking strategic decisions which include the definition of organizational strategy. Management Accountants collaborate with the organization’s managers in preparing alternative scenarios and evaluating different possible courses of actions.
h2,StudentOutcomes
p,A graduate of BS Management Accounting should be able to:
li,"Resolve business issues and problems with a global and strategic perspective, using their knowledge and technical proficiency in the areas of financial accounting and reporting, cost accounting and management, accounting and control, taxation, and accounting information systems"
li,Conduct management accounting research through independent studies of relevant literature and appropriate use of accounting theory and methodologies
li,"Employ technology as a business tool in capturing financial and non-financial information, generating reports and making decisions"
li,Apply knowledge and skills to successfully respond to various types of assessments (including professional licensure and certifications)
li,"Confidently maintain a commitment to good corporate citizenship, social responsibility and ethical practice in performing functions as a management accountant"
h2,List ofCourses
tr,"MANAGEMENT ACCOUNTING CORE COURSES – Provides the students with the core technical foundation essential to a successful career as a management accountant. Gives the students theoretical and technical accounting knowledge and skills, including an understanding of professional values and ethics."
tr,LAW101 - LAW ON OBLIGATIONS AND CONTRACTS
tr,LAW102-9 - BUSINESS LAW AND REGULATIONS
tr,LAW103 - REGULATORY FRAMEWORK AND LEGAL ISSUES IN BUSINESS
tr,MGT120 - MANAGEMENT SCIENCE
tr,ECO102 - INTERNATIONAL BUSINESS AND TRADE
tr,ACT210 - ACCOUNTING RESEARCH METHODS
tr,ACT201 - MANAGEMENT ACCOUNTING INTERNSHIP
tr,ACT212 - MANAGEMENT ACCOUNTINGRESEARCH
tr,MATH112 - STATISTICAL ANALYSIS WITH SOFTWARE APPLICATION
tr,"ACT105 - GOVERNANCE, BUSINESS ETHICS, RISK MANAGEMENT AND INTERNAL CONTROL"
tr,ECO103 - MANAGERIAL ECONOMICS
tr,ECO107 - ECONOMIC DEVELOPMENT
tr,ACT103 - FINANCIAL ACCOUNTING AND REPORTING
tr,ACT104 - CONCEPTUAL FRAMEWORK AND ACCOUNTING STANDARDS
tr,ACT110 - INTERMEDIATE ACCOUNTING 1
tr,ACT111 - INTERMEDIATE ACCOUNTING 2
tr,ACT112 - INTERMEDIATE ACCOUNTING 3
tr,FIN103 - FINANCIAL MARKETS
tr,FIN102 - FINANCIAL MANAGEMENT
tr,ACT130 - ACCOUNTING INFORMATION SYSTEM
tr,IT121-9 - IT APPLICATION TOOLS IN BUSINESS
tr,ACT121 - COST ACCOUNTING AND CONTROL
tr,ACT122 - STRATEGIC COST MANAGEMENT
tr,ACT180 - STRATEGIC BUSINESS ANALYSIS
tr,TAX101 - INCOME TAXATION
tr,TAX102 - BUSINESS AND TRANSFER TAXES
tr,"PROFESSIONAL COURSES – These courses complement the technical competencies of business and management education, accounting education courses and the intellectual, interpersonal, communication, organizational and management skills in general education."
tr,ACT155 - SUSTAINABILITY AND STRATEGIC AUDIT
tr,MGT106 - HUMAN BEHAVIOR IN ORGANIZATION
tr,MGT110 - PROJECT MANAGEMENT
tr,ACT157 - ACCOUNTING FOR BUSINESS COMBINATIONS
tr,ACT158 - ACCOUNTING FOR GOVERNMENT AND NON-PROFIT ORGANIZATIONS
tr,ACT107 - VALUATION METHODS
tr,ACT131 - PERFORMANCE MANAGEMENT SYSTEMS
tr,ACT123 - STRATEGIC TAX MANAGEMENT
tr,PROFESSIONAL ELECTIVES – These are the courses that a student may select from. These may lead to a certain focus in the field of Management Accounting.
tr,ACT140 - UPDATES IN MANAGERIAL ACCOUNTING
tr,MGT107 - HUMAN RESOURCE MANAGEMENT
tr,ENT103-9 - INNOVATION AND STRATEGY FORMULATION
tr,ACT106 - MANAGEMENT REPORTING
tr,ACT107 - ENTERPRISE GOVERNANCE FRAMEWORK
