Tag,Content
h2,Alfonso T. Yuchengco College of Business
h2,College of Arts and Science
h2,College of Computer and Information Science
h2,College of Engineering and Architecture
h2,College of Health Sciences
h2,Ready to Apply?
p,"Admission is open for new and transfer College applicants for the 1st Semester, SY: 2024-2025. Start your journey with us now!"
h2,Alfonso T. Yuchengco College of Business
img,https://mcm.edu.ph/wp-content/uploads/2023/03/ATYCB.jpg,ATYCB Logo
div,"The Alfonso T. Yuchengco College of Business was established to cater to Mindanao's need for a more technology-oriented business school. Named after the late Amb. Alfonso T. Yuchengco, the ATYCB seeks to live up to the vision and drive of the person who made the Yuchengco Group of Companies what it is today: a megalith in the business world. This is one of the most recognized college programs offered by one of the top colleges in the Philippines."
div,The College of Arts and Science provides diverse learning experiences to help MapúaMCM undergraduate students meet the outcomes in exploring various disciplines across the liberal arts. The foundational college programs offered by the College aim to prepare them for professional courses and allow them to emerge as mature 21st-century learners. MapúaMCM is recognized among the top college schools in Davao City.
div,"The College of Computer and Information Science (CCIS) designed its curricula to produce IT professionals who embody creative, technical, and analytical faculties and shall utilize them for nation-building. CCIS provides holistic, hands-on training through a balance of arts, science, and technology, all essential components of leading college programs. It is a proud part of the top colleges in the Philippines, focusing on information technology."
div,"The College of Engineering and Architecture (CEA) transforms its graduates into globally competitive, innovative leaders, socially responsible, and result-oriented engineers and architects. MapúaMCM-CEA commits to educating students imbued with good moral and ethical values while engaging in economically viable research and innovation that is relevant locally and beyond. This commitment is evident in the college programs offered by this prestigious institution, which stands out among the top colleges in the Philippines."
div,"The College of Health Sciences (CHS) establishes mastery in health, medicine, and relevant technology through high-quality science programs that prepare students for further studies and professional practice in medicine and other fields. These college programs focus on creating future medical professionals with solid ethics and values. As one of the top college schools in Davao City, MapúaMCM's CHS is a leader in health education."
